WA_NDB_No,WA_Shrt_Desc, Edible ,Tagname,NutrDesc,Units,Nutr_Val
02_022,"Sweet potato, pale yellow, raw",90,ENERC_KJ,Energy,kJ,486
02_022,"Sweet potato, pale yellow, raw",90,FAT,Total lipid (fat),g,0.18
02_022,"Sweet potato, pale yellow, raw",90,FE,"Iron, Fe",mg,1.1
02_022,"Sweet potato, pale yellow, raw",90,FIBTG,"Fiber, total dietary",g,3
02_022,"Sweet potato, pale yellow, raw",90,FOL,Folate,mcg,52
02_022,"Sweet potato, pale yellow, raw",90,K,"Potassium, K",mg,457.02
02_022,"Sweet potato, pale yellow, raw",90,MG,"Magnesium, Mg",mg,16
02_022,"Sweet potato, pale yellow, raw",90,NA,"Sodium, Na",mg,20
02_022,"Sweet potato, pale yellow, raw",90,NIA,Niacin,mg,0.63
02_022,"Sweet potato, pale yellow, raw",90,P,"Phosphorus, P",mg,51.33
02_022,"Sweet potato, pale yellow, raw",90,PROCNT,Protein,g,1.45
02_022,"Sweet potato, pale yellow, raw",90,RETOL,Retinol,mcg,0
02_022,"Sweet potato, pale yellow, raw",90,RIBF,Riboflavin,mg,0.04
02_022,"Sweet potato, pale yellow, raw",90,THIA,Thiamin,mg,0.09
02_022,"Sweet potato, pale yellow, raw",90,VITA_RAE,"Vitamin A, RAE",mcg,3.21
02_022,"Sweet potato, pale yellow, raw",90,VITB12,Vitamin B-12,mcg,0
02_022,"Sweet potato, pale yellow, raw",90,VITB6A,Vitamin B-6,mg,0.27
02_022,"Sweet potato, pale yellow, raw",90,VITC,"Vitamin C, total ascorbic acid",mg,22.33
02_022,"Sweet potato, pale yellow, raw",90,VITD,Vitamin D,mcg,0
02_022,"Sweet potato, pale yellow, raw",90,VITE,Vitamin E,mg,0.17
02_022,"Sweet potato, pale yellow, raw",90,WATER,Water,g,69.19
02_022,"Sweet potato, pale yellow, raw",90,ZN,"Zinc, Zn",mg,0.39
02_014,"Sweet potato, yellow, boiled* (without salt)",90,ASH,Ash,g,0.9
02_014,"Sweet potato, yellow, boiled* (without salt)",90,CA,"Calcium, Ca",mg,33.82
02_014,"Sweet potato, yellow, boiled* (without salt)",90,CARTB,"Carotene, beta",mcg,
02_014,"Sweet potato, yellow, boiled* (without salt)",90,CARTBEQ,"Carotene equivalent, beta",mcg,1540
02_014,"Sweet potato, yellow, boiled* (without salt)",90,CHOCDF,Carbohydrate,g,25.47
02_014,"Sweet potato, yellow, boiled* (without salt)",90,CU,"Copper, Cu",mg,0.12
02_014,"Sweet potato, yellow, boiled* (without salt)",90,ENERC_KCAL,Energy,kcal,116
02_014,"Sweet potato, yellow, boiled* (without salt)",90,ENERC_KJ,Energy,kJ,490
02_014,"Sweet potato, yellow, boiled* (without salt)",90,FAT,Total lipid (fat),g,0.2
02_014,"Sweet potato, yellow, boiled* (without salt)",90,FE,"Iron, Fe",mg,1
02_014,"Sweet potato, yellow, boiled* (without salt)",90,FIBTG,"Fiber, total dietary",g,3
02_014,"Sweet potato, yellow, boiled* (without salt)",90,FOL,Folate,mcg,32.76
02_014,"Sweet potato, yellow, boiled* (without salt)",90,K,"Potassium, K",mg,369.04
02_014,"Sweet potato, yellow, boiled* (without salt)",90,MG,"Magnesium, Mg",mg,14.4
02_014,"Sweet potato, yellow, boiled* (without salt)",90,NA,"Sodium, Na",mg,18.67
02_014,"Sweet potato, yellow, boiled* (without salt)",90,NIA,Niacin,mg,0.53
02_014,"Sweet potato, yellow, boiled* (without salt)",90,P,"Phosphorus, P",mg,35.34
02_014,"Sweet potato, yellow, boiled* (without salt)",90,PROCNT,Protein,g,1.53
02_014,"Sweet potato, yellow, boiled* (without salt)",90,RETOL,Retinol,mcg,0
02_014,"Sweet potato, yellow, boiled* (without salt)",90,RIBF,Riboflavin,mg,0.03
02_014,"Sweet potato, yellow, boiled* (without salt)",90,THIA,Thiamin,mg,0.07
02_014,"Sweet potato, yellow, boiled* (without salt)",90,VITA_RAE,"Vitamin A, RAE",mcg,128.4
02_014,"Sweet potato, yellow, boiled* (without salt)",90,VITB12,Vitamin B-12,mcg,0
02_014,"Sweet potato, yellow, boiled* (without salt)",90,VITB6A,Vitamin B-6,mg,0.2
02_014,"Sweet potato, yellow, boiled* (without salt)",90,VITC,"Vitamin C, total ascorbic acid",mg,22.87
02_014,"Sweet potato, yellow, boiled* (without salt)",90,VITD,Vitamin D,mcg,0
02_014,"Sweet potato, yellow, boiled* (without salt)",90,VITE,Vitamin E,mg,0.19
02_014,"Sweet potato, yellow, boiled* (without salt)",90,WATER,Water,g,68.9
02_014,"Sweet potato, yellow, boiled* (without salt)",90,ZN,"Zinc, Zn",mg,0.35
02_013,"Sweet potato, yellow, raw",90,ASH,Ash,g,0.9
02_013,"Sweet potato, yellow, raw",90,CA,"Calcium, Ca",mg,35.6
02_013,"Sweet potato, yellow, raw",90,CARTB,"Carotene, beta",mcg,
02_013,"Sweet potato, yellow, raw",90,CARTBEQ,"Carotene equivalent, beta",mcg,1620
02_013,"Sweet potato, yellow, raw",90,CHOCDF,Carbohydrate,g,25.47
02_013,"Sweet potato, yellow, raw",90,CU,"Copper, Cu",mg,0.13
02_013,"Sweet potato, yellow, raw",90,ENERC_KCAL,Energy,kcal,116
02_013,"Sweet potato, yellow, raw",90,ENERC_KJ,Energy,kJ,490
02_013,"Sweet potato, yellow, raw",90,FAT,Total lipid (fat),g,0.2
02_013,"Sweet potato, yellow, raw",90,FE,"Iron, Fe",mg,1.1
02_013,"Sweet potato, yellow, raw",90,FIBTG,"Fiber, total dietary",g,3
02_013,"Sweet potato, yellow, raw",90,FOL,Folate,mcg,52
02_013,"Sweet potato, yellow, raw",90,K,"Potassium, K",mg,461.3
02_013,"Sweet potato, yellow, raw",90,MG,"Magnesium, Mg",mg,16
02_013,"Sweet potato, yellow, raw",90,NA,"Sodium, Na",mg,23.33
02_013,"Sweet potato, yellow, raw",90,NIA,Niacin,mg,0.7
02_013,"Sweet potato, yellow, raw",90,P,"Phosphorus, P",mg,38
02_013,"Sweet potato, yellow, raw",90,PROCNT,Protein,g,1.53
02_013,"Sweet potato, yellow, raw",90,RETOL,Retinol,mcg,0
02_013,"Sweet potato, yellow, raw",90,RIBF,Riboflavin,mg,0.04
02_013,"Sweet potato, yellow, raw",90,THIA,Thiamin,mg,0.09
02_013,"Sweet potato, yellow, raw",90,VITA_RAE,"Vitamin A, RAE",mcg,135.15
02_013,"Sweet potato, yellow, raw",90,VITB12,Vitamin B-12,mcg,0
02_013,"Sweet potato, yellow, raw",90,VITB6A,Vitamin B-6,mg,0.27
02_013,"Sweet potato, yellow, raw",90,VITC,"Vitamin C, total ascorbic acid",mg,32.7
02_013,"Sweet potato, yellow, raw",90,VITD,Vitamin D,mcg,0
02_013,"Sweet potato, yellow, raw",90,VITE,Vitamin E,mg,0.19
02_013,"Sweet potato, yellow, raw",90,WATER,Water,g,68.9
02_013,"Sweet potato, yellow, raw",90,ZN,"Zinc, Zn",mg,0.39
170320,CAMEL,100,ENERC_KCAL,Energy,kcal,215
170321,CAMEL,100,A_KCAL,Protein,kcal,215
170322,CAMEL,100,PROCNT,Protein,g,19.9
170323,CAMEL,100,A_PROTEIN,Protein,g,19.9
170324,CAMEL,100,MFP_PROTEI,Protein,g,19.9
170325,CAMEL,100,FAT,Total lipid (fat),g,14.4
170326,CAMEL,100,FAMS,"Fatty acids, total monounsaturated",g,6.1
170327,CAMEL,100,FAPU,"Fatty acids, total polyunsaturated",g,0.6
170328,CAMEL,100,CHOLE,Cholesterol,g,60
170329,CAMEL,100,THIA,Thiamin,mg,0.06
170330,CAMEL,100,RIBF,Riboflavin,mg,0.12
170331,CAMEL,100,NIA,Niacin,mg,2.6
170332,CAMEL,100,VITB6,Vitamin B-6,mg,0.26
170333,CAMEL,100,FOL,Folate,mg,5
170334,CAMEL,100,VITB12,Vitamin B-12,mcg,1.5
170335,CAMEL,100,PANTAC,Pantothenic acid,g,0.32
170336,CAMEL,100,CA,"Calcium, Ca",mg,3
170337,CAMEL,100,P,"Phosphorus, P",mg,155
170338,CAMEL,100,MG,"Magnesium, Mg",mg,18
170339,CAMEL,100,K,"Potassium, K",mg,272
170340,CAMEL,100,NA,"Sodium, Na",g,42
170341,CAMEL,100,FE,"Iron, Fe",mg,1.4
170342,CAMEL,100,MFP_FE,"Iron, Fe",mg,1.4
170343,CAMEL,100,ZN,"Zinc, Zn",mg,3.3
170344,CAMEL,100,CU,"Copper, Cu",mg,0.07
170345,CAMEL,100,MN,"Manganese, Mn",mg,0.01
170346,CAMEL,100,TRP,Tryptophan,mg,224
170347,CAMEL,100,THR,Threonine,mg,871
170348,CAMEL,100,ILE,Isoleucine,mg,897
170349,CAMEL,100,LEU,Leucine,mg,1576
170350,CAMEL,100,LYS,Lysine,mg,1659
170351,CAMEL,100,MET,Methionine,mg,510
170352,CAMEL,100,CYS,Cystine,mg,224
170353,CAMEL,100,PHE,Phenylalanine,mg,779
170354,CAMEL,100,TYR,Tyrosine,mg,670
170355,CAMEL,100,VAL,Valine,mg,970
170356,CAMEL,100,ARG,Arginine,mg,1261
170357,CAMEL,100,HIS,Histidine,mg,683
04_028,"Cassava, leaves, boiled* (without salt)",100,ASH,Ash,g,1.93
04_028,"Cassava, leaves, boiled* (without salt)",100,CA,"Calcium, Ca",mg,276.14
04_028,"Cassava, leaves, boiled* (without salt)",100,CARTB,"Carotene, beta",mcg,3250
04_028,"Cassava, leaves, boiled* (without salt)",100,CARTBEQ,"Carotene equivalent, beta",mcg,
04_028,"Cassava, leaves, boiled* (without salt)",100,CHOCDF,Carbohydrate,g,13.6
04_028,"Cassava, leaves, boiled* (without salt)",100,CU,"Copper, Cu",mg,0.16
04_028,"Cassava, leaves, boiled* (without salt)",100,ENERC_KCAL,Energy,kcal,102
04_028,"Cassava, leaves, boiled* (without salt)",100,ENERC_KJ,Energy,kJ,432
04_028,"Cassava, leaves, boiled* (without salt)",100,FAT,Total lipid (fat),g,0.86
04_028,"Cassava, leaves, boiled* (without salt)",100,FATCE,Fat,g,
04_028,"Cassava, leaves, boiled* (without salt)",100,FE,"Iron, Fe",mg,4.4
04_028,"Cassava, leaves, boiled* (without salt)",100,FIBC,"Fiber, total dietary",g,3.8
04_028,"Cassava, leaves, boiled* (without salt)",100,FIBTG,Fiber,g,
04_028,"Cassava, leaves, boiled* (without salt)",100,FOL,Folate,mcg,62
04_028,"Cassava, leaves, boiled* (without salt)",100,K,"Potassium, K",mg,318.42
04_028,"Cassava, leaves, boiled* (without salt)",100,MG,"Magnesium, Mg",mg,36
04_028,"Cassava, leaves, boiled* (without salt)",100,NA.,"Sodium, Na",mg,4.74
04_028,"Cassava, leaves, boiled* (without salt)",100,NIA,Niacin,mg,1.12
04_028,"Cassava, leaves, boiled* (without salt)",100,P,"Phosphorus, P",mg,100.23
04_028,"Cassava, leaves, boiled* (without salt)",100,PROTCNT,Protein,g,7.94
04_028,"Cassava, leaves, boiled* (without salt)",100,RETOL,Retinol,mcg,0
04_028,"Cassava, leaves, boiled* (without salt)",100,RIBF,Riboflavin,mg,0.31
04_028,"Cassava, leaves, boiled* (without salt)",100,THIA,Thiamin,mg,0.17
04_028,"Cassava, leaves, boiled* (without salt)",100,TOCPHA,Vitamin,mg,
04_028,"Cassava, leaves, boiled* (without salt)",100,VITA_RAE,"Vitamin A, RAE",mcg,270.56
04_028,"Cassava, leaves, boiled* (without salt)",100,VITB12,Vitamin B-12,mcg,0
04_028,"Cassava, leaves, boiled* (without salt)",100,VITB6C,Vitamin B-6,mg,0.21
04_028,"Cassava, leaves, boiled* (without salt)",100,VITC,"Vitamin C, total ascorbic acid",mg,16.4
04_028,"Cassava, leaves, boiled* (without salt)",100,VITD,Vitamin D,mcg,0
04_028,"Cassava, leaves, boiled* (without salt)",100,VITE,Vitamin E,mg,2.53
04_028,"Cassava, leaves, boiled* (without salt)",100,WATER,Water,g,71.7
04_028,"Cassava, leaves, boiled* (without salt)",100,ZN,"Zinc, Zn",mg,0.54
10_018,"Milk, camel, raw (average of different breeds)",100,ASH,Ash,g,0.8
10_018,"Milk, camel, raw (average of different breeds)",100,CA,"Calcium, Ca",mg,116
10_018,"Milk, camel, raw (average of different breeds)",100,CARTB,"Carotene, beta",mcg,
10_018,"Milk, camel, raw (average of different breeds)",100,CARTBEQ,"Carotene equivalent, beta",mcg,
10_018,"Milk, camel, raw (average of different breeds)",100,CHOCDF,Carbohydrate,g,4.7
10_018,"Milk, camel, raw (average of different breeds)",100,CU,"Copper, Cu",mg,0.15
10_018,"Milk, camel, raw (average of different breeds)",100,ENERC_KCAL,Energy,kcal,58
10_018,"Milk, camel, raw (average of different breeds)",100,ENERC_KJ,Energy,kJ,241
10_018,"Milk, camel, raw (average of different breeds)",100,FAT,Total lipid (fat),g,3
10_018,"Milk, camel, raw (average of different breeds)",100,FATCE,Fat,g,
10_018,"Milk, camel, raw (average of different breeds)",100,FE,"Iron, Fe",mg,0.2
10_018,"Milk, camel, raw (average of different breeds)",100,FIBC,"Fiber, total dietary",g,
10_018,"Milk, camel, raw (average of different breeds)",100,FIBTG,Fiber,g,0
10_018,"Milk, camel, raw (average of different breeds)",100,FOL,Folate,mcg,
10_018,"Milk, camel, raw (average of different breeds)",100,K,"Potassium, K",mg,151
10_018,"Milk, camel, raw (average of different breeds)",100,MG,"Magnesium, Mg",mg,13
10_018,"Milk, camel, raw (average of different breeds)",100,NA.,"Sodium, Na",mg,61
10_018,"Milk, camel, raw (average of different breeds)",100,NIA,Niacin,mg,
10_018,"Milk, camel, raw (average of different breeds)",100,P,"Phosphorus, P",mg,86
10_018,"Milk, camel, raw (average of different breeds)",100,PROTCNT,Protein,g,3.1
10_018,"Milk, camel, raw (average of different breeds)",100,RETOL,Retinol,mcg,
10_018,"Milk, camel, raw (average of different breeds)",100,RIBF,Riboflavin,mg,0.06
10_018,"Milk, camel, raw (average of different breeds)",100,THIA,Thiamin,mg,
10_018,"Milk, camel, raw (average of different breeds)",100,TOCPHA,Vitamin,mg,
10_018,"Milk, camel, raw (average of different breeds)",100,VITA_RAE,"Vitamin A, RAE",mcg,
10_018,"Milk, camel, raw (average of different breeds)",100,VITB12,Vitamin B-12,mcg,
10_018,"Milk, camel, raw (average of different breeds)",100,VITB6C,Vitamin B-6,mg,
10_018,"Milk, camel, raw (average of different breeds)",100,VITC,"Vitamin C, total ascorbic acid",mg,1.9
10_018,"Milk, camel, raw (average of different breeds)",100,VITD,Vitamin D,mcg,
10_018,"Milk, camel, raw (average of different breeds)",100,VITE,Vitamin E,mg,
10_018,"Milk, camel, raw (average of different breeds)",100,WATER,Water,g,88.52
10_018,"Milk, camel, raw (average of different breeds)",100,ZN,"Zinc, Zn",mg,0.56
